on x=-3..43,y=-22..22,z=-15..34
on x=-9..42,y=-40..12,z=-30..19
on x=-5..46,y=-9..38,z=-31..21
on x=-27..25,y=-30..22,z=-9..42
on x=-25..27,y=-43..3,z=-22..31
on x=-39..9,y=-45..8,z=-17..29
on x=-10..36,y=-2..44,z=-9..35
on x=-45..4,y=-41..5,z=-3..49
on x=-24..26,y=-34..12,z=-6..44
on x=-35..17,y=-36..11,z=-42..10
off x=5..19,y=6..21,z=-21..-3
on x=-45..1,y=-40..11,z=-31..20
off x=16..30,y=-16..-4,z=21..33
on x=-38..7,y=-30..15,z=-46..3
off x=36..48,y=-39..-22,z=-47..-34
on x=-23..22,y=-22..29,z=-27..24
off x=-39..-29,y=-47..-34,z=-13..-1
on x=-18..28,y=-3..44,z=-8..38
off x=-38..-24,y=-48..-39,z=14..28
on x=-32..21,y=-36..9,z=-38..16
on x=-40114..-18236,y=44675..56621,z=-62989..-35133
on x=-47063..-26565,y=34232..54684,z=-70517..-34320
on x=-56151..-43929,y=48563..58124,z=36908..41850
on x=-77794..-42408,y=-69580..-49841,z=1311..11416
on x=-55821..-38492,y=49499..69556,z=17469..29122
on x=63143..77824,y=-46210..-33353,z=9878..30392
on x=39342..53117,y=-50110..-40820,z=-62170..-40938
on x=-73484..-48152,y=-65736..-42700,z=-18262..-13156
on x=37366..54383,y=19405..43152,z=47195..68515
on x=-58204..-27378,y=-43155..-25521,z=-62841..-54391
on x=-74420..-47151,y=37359..62719,z=-25475..-3046
on x=-45598..-17555,y=-26089..-5704,z=-70074..-64019
on x=-60861..-28014,y=-73554..-54991,z=-31524..-9823
on x=-24856..-677,y=-30123..-15884,z=63853..91090
on x=-70612..-48898,y=-58794..-27838,z=31988..51431
on x=-39272..-20927,y=-20393..-13252,z=-85528..-72953
on x=-25668..-4103,y=-18215..-1734,z=-91736..-74972
on x=-58040..-34891,y=-68034..-41896,z=22484..48325
on x=-83077..-63382,y=17005..35646,z=-28949..3129
on x=-75533..-63223,y=-47132..-32953,z=18181..35552
on x=-12005..9792,y=19338..25243,z=-92843..-67825
on x=56387..84965,y=-35767..-23866,z=-7517..29845
on x=41294..42717,y=62107..77449,z=-6076..18165
on x=68909..88527,y=12129..33752,z=-14973..1514
on x=70106..89265,y=-44616..-27968,z=-11036..-1697
on x=23822..38056,y=40195..55684,z=-65662..-33478
on x=57501..81938,y=-18907..-5701,z=5821..28274
on x=-25260..-17668,y=-48592..-46210,z=-69961..-51155
on x=-40924..-23866,y=59810..71028,z=1641..21630
on x=34547..43160,y=-74622..-56131,z=-36907..-17782
on x=-21350..276,y=14485..29856,z=-77890..-58230
on x=-75736..-39641,y=-2847..32980,z=-57010..-42061
on x=-25041..-10364,y=-77922..-57550,z=18525..31966
on x=-11867..7378,y=17836..49462,z=-90609..-54269
on x=-73484..-39680,y=-39303..-21793,z=31847..54382
on x=-16778..-10708,y=-66044..-52096,z=-44957..-39847
on x=-6352..5197,y=-48264..-42773,z=-69346..-65566
on x=-70366..-51952,y=-45555..-37939,z=-60527..-28534
on x=21301..42400,y=-20291..4389,z=66067..89444
on x=45669..82341,y=-56204..-41535,z=-21028..-14812
on x=-12687..6121,y=-75650..-50731,z=40334..49677
on x=62454..72648,y=-56206..-23070,z=-36904..-4173
on x=-14045..15260,y=74607..78556,z=3616..39536
on x=3027..21243,y=58402..67345,z=32845..51345
on x=36180..53611,y=3808..31420,z=-75144..-41742
on x=62333..81915,y=22152..45857,z=-19764..3026
on x=16840..31474,y=51862..63491,z=41052..56975
on x=34291..46927,y=-64612..-48527,z=-43496..-32299
on x=-15540..7128,y=28606..58975,z=61419..80612
on x=-41973..-18320,y=-77313..-61240,z=15692..47003
on x=-53801..-30362,y=39541..57030,z=-60083..-35312
on x=68377..77233,y=20169..50880,z=-27441..-20458
on x=-48517..-32670,y=27681..29643,z=43402..61515
on x=-27916..-4199,y=26661..49908,z=52384..82183
on x=49989..60432,y=-53633..-30668,z=-41268..-22103
on x=27313..55472,y=56100..75902,z=19430..45734
on x=-6356..15818,y=-68706..-57263,z=36276..50109
on x=-86603..-47010,y=-10414..18891,z=-47053..-29175
on x=-55452..-23629,y=-70516..-54860,z=1793..24906
on x=50625..72911,y=-12487..-2707,z=-71603..-40651
on x=39137..55253,y=19930..23696,z=45922..65211
on x=-9884..16104,y=-37553..-13090,z=-80288..-61586
on x=15247..32364,y=58299..77121,z=12794..38315
on x=-66919..-64795,y=27710..52508,z=-5853..20204
on x=55575..68137,y=-44413..-25743,z=-53783..-25185
on x=-28440..950,y=-58170..-37455,z=42708..66553
on x=-62883..-47411,y=41864..58827,z=-14578..6700
on x=-77452..-58620,y=-27879..-12335,z=28389..50389
on x=16287..41670,y=-20720..-3731,z=58921..81851
on x=-39948..-11682,y=62858..90995,z=-33475..-6506
on x=-56395..-35664,y=27367..43557,z=-61199..-44459
on x=-52933..-35603,y=-11996..5380,z=-73054..-57610
on x=-13683..-926,y=-79150..-68241,z=13231..23670
on x=-2283..11495,y=-47635..-35881,z=65101..72052
on x=68775..80912,y=-16331..4168,z=9807..29318
on x=-82722..-62858,y=28101..48460,z=-20008..-10603
on x=2241..10548,y=76361..96934,z=-22674..-2056
on x=54720..67218,y=-55890..-27903,z=-24408..-4708
on x=-29992..1612,y=7330..30747,z=-89965..-57543
on x=-26063..-23251,y=-14766..-5848,z=56200..88720
on x=25688..45780,y=48319..64535,z=29487..42809
on x=-10623..723,y=21921..25266,z=59433..79964
on x=9630..28513,y=-55849..-40790,z=59817..71724
on x=11397..35361,y=-80067..-68146,z=-50677..-32416
on x=50224..86037,y=-20267..-15219,z=-58574..-37744
on x=-46674..-23145,y=25112..36216,z=62513..76632
on x=-57137..-35534,y=26364..30930,z=47504..77090
on x=-41608..-18461,y=-42765..-18900,z=59370..81028
on x=-79954..-65176,y=-48791..-24716,z=-18848..6604
on x=-34241..-17350,y=-56143..-45006,z=44227..58857
on x=-5530..18391,y=42342..80378,z=44220..64341
on x=30538..43170,y=-48953..-12974,z=-64060..-46708
on x=18461..24438,y=-27505..-8539,z=-92027..-61631
on x=7320..30402,y=2065..30085,z=63426..78441
on x=-83260..-52652,y=-51533..-38598,z=-14357..16445
on x=-62617..-42138,y=42994..61052,z=-44270..-29008
on x=41132..55256,y=17301..44161,z=47335..72698
on x=-38586..-28967,y=15440..46541,z=54083..79262
on x=4995..13584,y=-83385..-58047,z=8179..45684
on x=-9417..16240,y=-364..29729,z=63018..79305
on x=-12093..-408,y=69909..76313,z=17279..43292
on x=22311..54594,y=-61374..-47340,z=38721..58551
on x=17514..41718,y=19397..55401,z=52361..75918
on x=-50215..-25999,y=-31832..-5898,z=-76682..-69666
on x=-88531..-51323,y=20056..51515,z=-25044..3011
on x=31693..42788,y=58122..73210,z=10170..25065
on x=-53730..-34736,y=-81115..-51623,z=-18858..-15751
on x=-8074..19450,y=56979..82537,z=21384..34758
on x=-9034..12679,y=-88632..-76023,z=-5255..10049
on x=-86158..-60722,y=-29277..-10774,z=-8108..5698
on x=51152..71206,y=-60178..-30734,z=-35299..-26419
on x=-53802..-21439,y=-81913..-62752,z=-48874..-14789
on x=-73416..-53624,y=-34880..-13729,z=-53059..-31384
on x=56542..90289,y=-39884..-24348,z=-33572..-10907
on x=6068..14850,y=-24184..-14322,z=60362..84796
on x=-65456..-62775,y=-39784..-18820,z=29946..43097
on x=-20508..-10931,y=21416..42909,z=-92770..-64543
on x=-78252..-45498,y=-42625..-36372,z=-37489..-22616
on x=-57749..-32551,y=33364..54148,z=39122..59239
on x=42486..64700,y=53697..67728,z=6295..16867
on x=-49857..-32057,y=8944..15961,z=66948..80602
on x=5331..24738,y=60035..81743,z=-9594..14754
on x=-37717..-27443,y=-26773..4070,z=-92232..-59205
on x=65813..86768,y=-40687..-15775,z=-29939..-15873
on x=3652..16387,y=-11856..10121,z=74824..93756
on x=-79835..-45711,y=-53126..-25959,z=-44777..-15785
on x=29228..52342,y=-42363..-18344,z=-83369..-51120
on x=-77918..-47225,y=-64364..-34769,z=-23149..-14421
on x=53783..76513,y=-54253..-24629,z=-1497..25601
on x=-4117..22514,y=-68600..-43788,z=39330..61783
on x=56356..73410,y=29059..61247,z=23522..30743
on x=-53663..-19354,y=9252..18430,z=55428..81436
on x=-77447..-54826,y=-13321..11273,z=37758..54142
on x=-33225..-11181,y=-88722..-71114,z=-17425..-1981
on x=34224..64644,y=-2807..21051,z=-76498..-56029
on x=-84451..-58720,y=-8709..7250,z=28349..41147
on x=32736..58563,y=-56724..-25395,z=38575..66087
on x=-70967..-60938,y=-14558..-1120,z=31180..57527
on x=57978..73770,y=37063..64257,z=-6069..-220
on x=20034..21990,y=-73943..-62810,z=16616..34791
on x=-86125..-62182,y=-46075..-37645,z=-22559..-16252
on x=64441..79235,y=44123..53922,z=-15543..5734
on x=58533..82768,y=-2754..6990,z=26452..35254
on x=34809..61230,y=-73095..-41773,z=16468..37593
on x=27000..39601,y=-35268..-18100,z=-72724..-54029
on x=-84967..-77387,y=-19101..-328,z=-9397..13132
on x=-19461..8572,y=13497..45738,z=-86131..-73254
on x=-86433..-60998,y=-56901..-29700,z=-18913..-2693
on x=-18094..5939,y=-84753..-47530,z=33605..55713
